Hr,PV,Bat,Wind,Load,City ,Weather
37,26.96833117,4.989426917,0,14.17489025,Seattle,Sunny
38,27.1172665,5.121133667,0,14.36422817,Seattle,Sunny
39,27.15860425,4.47217325,0,15.2050005,Seattle,Sunny
40,27.092101,2.640576,0,17.10268417,Seattle,Sunny
41,27.03333967,1.072269333,0,18.5542895,Seattle,Sunny
42,26.88630125,0.486953833,0,19.03846142,Seattle,Sunny
43,24.33524442,-1.7588035,0,18.7969715,Seattle,Sunny
44,14.72864108,-11.15656833,0,18.37302383,Seattle,Sunny
45,0.126863083,-22.22532333,0,17.73486033,Seattle,Sunny
46,0.153356917,-19.38291758,0,14.86761233,Seattle,Sunny
47,0.148223167,-16.14127283,0,11.74528517,Seattle,Sunny 
1,0.153424167,-21.008932,0,16.14754383,Seattle,Windy
2,0.18540475,-20.19046842,0,15.3875605,Seattle,Windy
3,0.2212165,-20.88086042,0,16.11404983,Seattle,Windy
4,0.19580575,-22.10436325,0,17.29998883,Seattle,Windy
5,0.196124667,-22.75733325,0,18.2033905,Seattle,Windy
6,0.206744917,-24.83368225,0.015703927,20.34434275,Seattle,Windy
7,0.180264333,-26.67626267,4.083494531,23.16023117,Seattle,Windy
8,0.188237667,-28.52770442,4.180443188,25.137992,Seattle,Windy
9,0.184520333,-28.6457705,5.101374603,25.923232,Seattle,Windy
10,0.177548583,-28.59716667,3.492899847,25.27863567,Seattle,Windy
11,0.16165625,-28.17363967,0,23.65501425,Seattle,Windy
12,1.214377583,-26.34186008,0,21.797298,Seattle,Windy
13,6.124523083,-22.39627158,0,21.10989417,Seattle,Windy
14,4.938501083,-21.32520092,0,19.14580617,Seattle,Windy
15,4.762610667,-20.46264867,0,17.99011075,Seattle,Windy
16,0.1967825,-23.72295092,0,19.04515783,Seattle,Windy
17,0.205229667,-26.57532992,0,21.98421733,Seattle,Windy
18,0.20156925,-29.58663658,0,24.76478975,Seattle,Windy
19,0.210996083,-30.77399642,0,26.10396333,Seattle,Windy
20,0.199723583,-30.44406033,0,25.84385742,Seattle,Windy
21,0.205198167,-29.47881625,0,25.01408608,Seattle,Windy
22,0.201247417,-28.13998875,0,23.45629383,Seattle,Windy
23,0.199068,-25.8350015,0,21.3428695,Seattle,Windy
24,0.206129333,-22.82356367,0,18.19082433,Seattle,Windy
25,0.20052475,-20.91419542,0,16.27306617,Seattle,Windy
26,0.220987083,-20.22570675,0,15.34158383,Seattle,Windy
27,0.217422917,-20.86430233,0,16.029835,Seattle,Windy
28,0.213908333,-21.62126458,0,17.43804617,Seattle,Windy
29,0.20313575,-22.62660392,0,18.28134758,Seattle,Windy
30,0.190088583,-24.761184,0,20.24067467,Seattle,Windy
31,0.2020305,-27.48044083,0,22.955225,Seattle,Windy
32,0.220763083,-29.43402192,0,24.84952417,Seattle,Windy
33,0.20222925,-30.12367375,0,25.67184208,Seattle,Windy
34,4.112974167,-28.19332133,0,25.09860058,Seattle,Windy
35,8.31240475,-22.52164575,0,23.6590975,Seattle,Windy
36,9.65049025,-19.38580517,0,21.94576875,Seattle,Windy
37,19.45340475,-9.024679917,0,21.11279025,Seattle,Windy
38,15.87752558,-10.95926192,0,19.06533925,Seattle,Windy
39,10.11446533,-15.45419983,0,18.09910667,Seattle,Windy
40,7.541693917,-18.69499058,0,19.00493092,Seattle,Windy
41,0.659400333,-26.163384,0,21.90733975,Seattle,Windy
42,0.180264167,-29.3166225,0,24.896821,Seattle,Windy
43,0.214330667,-30.60807975,0,26.25758283,Seattle,Windy
44,0.218185,-30.27811942,0,26.09664975,Seattle,Windy
45,0.19967375,-29.33731217,0,25.34723633,Seattle,Windy
46,0.20141525,-27.87875542,0,23.853117,Seattle,Windy
47,0.208115083,-26.11028367,0,21.642517,Seattle,Windy
1,0.155148917,-16.98572942,0,12.49678467,Seattle,Rainy
2,0.16701575,-16.67700175,0,12.30609283,Seattle,Rainy
3,0.15942225,-17.2939435,0,13.03451167,Seattle,Rainy
4,0.16400525,-18.15667917,0,13.85739883,Seattle,Rainy
5,0.158487583,-19.4319405,0,15.35227242,Seattle,Rainy
6,0.1616135,-21.91698275,0,17.69813842,Seattle,Rainy
7,0.1452865,-23.98281117,0,20.00650183,Seattle,Rainy
8,0.155751417,-25.35308117,0,21.09953317,Seattle,Rainy
9,0.154272333,-25.57375183,0,21.26560033,Seattle,Rainy
10,0.172583083,-24.63157692,0,20.4360865,Seattle,Rainy
11,0.252821083,-23.44936367,0,19.24420625,Seattle,Rainy
12,4.79603025,-21.00651833,0,18.35600675,Seattle,Rainy
13,9.298485667,-14.7735645,0,16.99211842,Seattle,Rainy
14,0.819938667,-19.40589875,0,15.54409833,Seattle,Rainy
15,0.143788667,-19.7427895,0,15.45227933,Seattle,Rainy
16,0.160583667,-21.51418592,0,16.8728945,Seattle,Rainy
17,0.944346583,-23.72650792,0,19.18663542,Seattle,Rainy
18,6.001097667,-22.02167308,0,20.94559967,Seattle,Rainy
19,0.288195583,-25.86233225,0,21.88645633,Seattle,Rainy
20,0.170099167,-25.848426,0,21.65717842,Seattle,Rainy
21,0.17950525,-24.99937533,0,20.8385755,Seattle,Rainy
22,0.172346833,-22.3001995,0,18.292398,Seattle,Rainy
23,0.16722175,-20.27264233,0,15.85799483,Seattle,Rainy
24,0.173937833,-18.23011575,0,13.76980575,Seattle,Rainy
25,0.180966333,-16.79580292,0,12.64091008,Seattle,Rainy
26,0.181574167,-16.449838,0,12.44263767,Seattle,Rainy
27,0.18551475,-17.00795608,0,13.064034,Seattle,Rainy
28,0.17878925,-17.98025008,0,13.97141642,Seattle,Rainy
29,0.176313833,-19.39870067,0,15.29669075,Seattle,Rainy
30,0.180944667,-21.74848025,0,17.85378392,Seattle,Rainy
31,0.194592,-24.03889375,0,20.1930745,Seattle,Rainy
32,0.20617425,-25.31020908,0,21.51678383,Seattle,Rainy
33,3.19029075,-24.39660833,0,21.66283592,Seattle,Rainy
34,8.491393917,-18.99831142,0,20.7977525,Seattle,Rainy
35,13.77761708,-12.90070233,0,19.43322875,Seattle,Rainy
36,21.50722942,-3.598566833,0,18.37556533,Seattle,Rainy
37,21.98482567,-1.840253583,0,17.27697233,Seattle,Rainy
38,22.17311367,-0.702943167,0,16.06433275,Seattle,Rainy
39,22.2167785,-0.653897833,0,15.870148,Seattle,Rainy
40,15.65423667,-8.78673025,0,17.2780375,Seattle,Rainy
41,14.98005633,-11.48639992,0,19.40457558,Seattle,Rainy
42,8.163990917,-19.49484517,0,21.2097495,Seattle,Rainy
43,1.20652375,-25.25063192,0,22.05876075,Seattle,Rainy
44,0.168552083,-25.71702908,0,22.03781292,Seattle,Rainy
45,0.166898,-24.65349567,0,20.80648275,Seattle,Rainy
46,0.16539725,-22.290299,0,18.35531358,Seattle,Rainy
47,0.166678917,-20.61390842,0,16.02488492,Seattle,Rainy
